Original Perfume and their clones,Original Brand,Original Brand and Name,Clone Brand,Owned ?,Community Comments,Personal Comments
,Giorgio Armani,Frank Olivier Blue Touch,Frank Olivier,,,
,Giorgio Armani,Armaf Blur Homme,Armaf,,,
,Giorgio Armani,Ajmal Shiro,Ajmal,,,
Giorgio Armani Acqua Di Gio Essenza,Giorgio Armani,Bentley For Men Silverlake,Bentley,,,
Giorgio Armani Acqua Di Gio Profondo,Giorgio Armani,Armaf Tres Nuit Lyric,Armaf,,,
,Giorgio Armani,Maison Alhambra Jorge Di Profundo,Maison Alhambra,,,
,Giorgio Armani,Lattafa Liam Blue,Lattafa,,,
,Giorgio Armani,Azzaro Chrome Extreme,Azzaro,,,
Giorgio Armani Acqua Di Gio Profumo,Giorgio Armani,Ard Al Zaafaran Jazzab Silver,Ard Al Zaafaran,,Recommended,
,Giorgio Armani,Maison Alhambra Jorge Di Profumo,Maison Alhambra,Owned,Recommended,"Very nice, 4-5 hours longetivity though"
,Giorgio Armani,Lattafa Suqraat,Lattafa,,Recommended,
,Giorgio Armani,Szindore Mare Nostrum,Szindore,,,
Giorgio Armani Armani Prive Bleu Turqoise,Giorgio Armani,Emper Privé Turquoise,Emper,,,
Giorgio Armani Armani Prive Magenta Tanzanite,Giorgio Armani,Emper Privé Magenta,Emper,,,
Giorgio Armani Armani Prive Musc Shamal,Giorgio Armani,French Avenue Musc D'Prive,French Avenue,,,
Giorgio Armani Armani Prive Oud Royal,Giorgio Armani,Lattafa Opulent Oud,Lattafa,,,
Giorgio Armani Armani Prive Rose d'Arabie,Giorgio Armani,Emper Privé Arabian Rose,Emper,,,
Giorgio Armani Armani Prive Rose Milano,Giorgio Armani,Fragrance World Serene Rose,Fragrance World,,,
Giorgio Armani Armani Prive Rouge Malachite,Giorgio Armani,Maison Alhambra Niche Royal Rouge,Maison Alhambra,,,
,Giorgio Armani,Emper Privé Rouge,Emper,,,
Giorgio Armani Armani Prive Vert Malachite,Giorgio Armani,Maison Alhambra Niche Royal Vert,Maison Alhambra,,,
Giorgio Armani Code Profumo,Giorgio Armani,Ard Al Zaafaran Ahlaamak,Ard Al Zaafaran,,,
,Giorgio Armani,Sapil Bound For Men,Sapil,,,
Giorgio Armani My Way,Giorgio Armani,Lattafa Mayar,Lattafa,,,
,Giorgio Armani,Zara Sublime Epoque,Zara,,,
Gissah Perfumes Sava,Gissah Perfumes,Lattafa Khamrah,Lattafa,,"Khamrah is sava clone, not angel share",
Givenchy Gentleman Reserve Privée,Givenchy,Althoor Al Alam Al Fakhir,Althoor Al Alam,,Fragrance World subsidary,
Givenchy Gentlemen Only,Givenchy,Armaf Just For You,Lattafa,,"Close, but synthethic a bit with no Iris",
Givenchy L'Interdit,Givenchy,Maison Alhambra L'Intrude,Maison Alhambra,,,
Givenchy L'Interdit Rouge,Givenchy,Maison Alhambra L'Intense Rouge Addictiono,Maison Alhambra,,,
Gucci A Chant for the Nymph,Gucci,Maison Alhambra The Chant,Maison Alhambra,,,
Gucci A Midnight Stroll,Gucci,Maison Alhambra The Trail/ The Serpent,Maison Alhambra,,,
Gucci ASong For The Rose,Gucci,Maison Alhambra The Myth,Maison Alhambra,,,
Gucci Bloom,Gucci,Maison Alhambra Floral Bloom,Maison Alhambra,,,
Gucci Bloom Ambrosia Di Fiori,Gucci,Maison Alhambra Floral Ambrosia,Maison Alhambra,,,
Gucci Bloom Profumo Di Fiori,Gucci,Maison Alhambra Floral Profumo,Maison Alhambra,,,
Gucci Flora EDT,Gucci,Maison Alhambra Florence,Maison Alhambra,,,
,Gucci,Zara Cashmere Rose,Zara,,,
Gucci Flora Gorgeous Gardenia,Gucci,Al Haramain Amber Oud Ultra Violet,Al Haramain,,,
Gucci Guilty Pour Homme EDT,Gucci,Zara Silver,Zara,,,
Gucci Pour Homme (2003),Gucci,Bentley For Men Absolute,Bentley,,,
Gucci The Voice Of The Snake,Gucci,Maison Alhambra The Trail,Maison Alhambra,,,
Guerlain L'Homme Ideal,Guerlain,Armaf Radical,Armaf,,,
Guerlain L'Homme Ideal Extreme,Guerlain,Fragrance World Supreme L'Homme Extreme,Fragrance World,,,
Guerlain Oud Intense,Guerlain,Lattafa Qaa'ed Al Shabaab,Lattafa,,,
Guerlain Patchouli Ardent,Guerlain,Maison Alhambra Amberley Ombre Blue,Maison Alhambra,,,
Hermes Jour d'Hermes Absolu,Hermes,Lattafa Ekhtiari,Lattafa,,,
Hermes Terre d'Hermes,Hermes,Armaf Eternia Man,Armaf,,,
,Hermes,Maison Alhambra Toro Pour Homme,Maison Alhambra,,,
,Hermes,Rasasi Fattan,Rasasi,Owned,,"Strong pepper note, but pleasant dry down"
Hermes Twilly d'Hermes,Hermes,Maison Alhambra Tweet,Maison Alhambra,,,
Hugo Boss Bottled,Hugo Boss,Christiano Ronaldo Legacy,Chistiano Ronaldo,,Inspired (Boss Bottled x Boss Bottled Night),
Initio Atomic Rose,Initio,Lattafa Bade'e al Oud Amethyst,Lattafa,,Recommend,
,Initio,Maison Alhambra Infini Rose,Maison Alhambra,,,
Initio Oud for Greateness,Initio,Lattafa Badee Al Oud For Glory,Lattafa,,,
,Initio,Maison Alhambra Infini Oud,Maison Alhambra,,,
,Initio,Afnan Supremacy in Oud,Afnan,,Recommended,
Initio Oud for Happiness,Initio,Lattafa Al Noble Saheer,Lattafa,,,
Initio Paragon ,Initio,Lattafa Al Nashama,Lattafa,,,
Initio Side Effect,Initio,Fragrance World Intro Aftermath,Fragrance World,,,
Issey Miyake L'Eau d'Issey Pour Homme Noir Ambre,Issey Miyake,Asdaaf Majd Al Sultan,Asdaaf,,,
Jean Paul Gaultier Elixir,Jean Paul Gaultier,Rayhaan Elixir,Rayhaan,,,
,Jean Paul Gaultier,Grandeur Elit Tribal Gold,Grandeur Elite,,,
Jean Paul Gaultier La Belle,Jean Paul Gaultier,Maison Alhambra Glacier Bella,Maison Alhambra,,,
Jean Paul Gaultier Le Beau,Jean Paul Gaultier,Paris Corner Kaheela Platinium,Paris Corner,,,
Jean Paul Gaultier Le Male Le Parfum,Jean Paul Gaultier,Maison Alhambra Glacier Le Noir,Maison Alhambra,,,
Jean Paul Gaultier Scandal,Jean Paul Gaultier,Maison Alhambra Candid,Maison Alhambra,,,
,Jean Paul Gaultier,Armaf Odyssey Mandarin Sky,Armaf,,,
Jean Paul Gaultier Scandal by Night,Jean Paul Gaultier,Maison Alhambra Candid Tonight,Maison Alhambra,,,
Jean Paul Gaultier So Scandal !,Jean Paul Gaultier,Maison Alhambra So Candid,Maison Alhambra,,,
Jean Paul Gaultier Ultramale,Jean Paul Gaultier,Afnan 9pm,Afnan,,Recommended,
,Jean Paul Gaultier,Lattafa Ramz Silver,Lattafa,Owned,,Pretty close
,Jean Paul Gaultier,Rue Brocha Touche,Rue Brocha,,,
,Jean Paul Gaultier,Maison Alhambra Glacier Ultra,Maison Alhambra,,,
Jo Malone Blackberry & Bay,Jo Malone,Jenny Glow Berry & Bay,Jenny Glow,,,
Jo Malone Dark Amber & Ginger Lily,Jo Malone,Jenny Glow Amber & Lilly,Jenny Glow,,,
Jo Malone English Pear & Freesia,Jo Malone,Jenny Glow Pear and Freesia,Jenny Glow,,Pretty Close,
Jo Malone Lime Basil & Mandarin,Jo Malone,Jenny Glow Lime & Basil,Jenny Glow,,,
Jo Malone Mimosa & Cardamom,Jo Malone,Jenny Glow Mimosa & Cardamom,Jenny Glow,,,
Jo Malone Peony & Blush Suede,Jo Malone,Jenny Glow Peony,Jenny Glow,,,
Jo Malone Pomegranate Noir,Jo Malone,Jenny Glow Pomegranate,Jenny Glow,,,
Jo Malone Wood Sage & Sea Salt,Jo Malone,Jenny Glow Wood & Sage,Jenny Glow,,,
Juicy Coutur Viva La Juicy,Juicy Couture,Zara Pink Flambe,Zara,,,
Juicy Couture I am Juicy Couture,Juicy Couture,Zara Ultra Juicy,Zara,,,
Kajal Lamar,Kajal,Lataffa Qaed Al Fursan,Lattafa,,,
Kayali Invite Only Amber,Kayali,Paris Corner Kaheela Lux,Paris Corner,,,
Kilian Angel Share,Kilian,Paris Corner Emir Fire Your Desire,Paris Corner,,,
,Kilian,Fragance World Cocktail Intense,Fragrance World,,90% similiar,
,Kilian,Fragrance World Enigma Deux,Fragrance World,,stronger than Cocktail Intense,
,Kilian,Fragrance World Royal Blend,Fragrance World,,2nd closest,
,Kilian,Borouj Sillage,Borouj,,very close,
,Kilian,Alexandria Fragrances Brooklyn Fragrance Lover,Alexandria Fragrances,,"best, closest",
,Kilian,Yasmeen Khamr Share,Yasmeen,,,
,Kilian,Harumme Angelique du Bois,Harumme,,Inspired,
,Kilian,Khadlaj Perfume La Fede Intoxicate,Khadlaj Perfumes,,,
,Kilian,Maison Alhambra Kismet Angel,Maison Alhambra,Owned,0.9,
,Kilian,Grandeur Elite Montage Intense,Grandeur Elite,,Kismet Angel level of simlarity,
Kilian Back To Black,Kilian,Paris Corner Emir When The Soul Gets High,Maison Alhambra,,,
